"Action","Ações"
"An error occurred while writing to the backup file ""%s"".","Ocorreu um erro ao gravar o arquivo de backup ""%s""."
"Backup file ""%s"" cannot be read from or written to.","Arquivo de backup ""%s"" sem permissão de escrita ou leitura."
"Backup file ""%s"" does not exist.","Arquivo de backup ""%s"" não existe."
"Backup file does not exist.","Arquivo de backup não existe."
"Backup file handler was unspecified.","Controle de arquivo de backup não especificado."
"Backup file path was not specified.","Diretório do arquivo de backup não informado."
"Backups","Backups"
"Cannot read backup file.","Não foi possível ler o arquivo de backup."
"Create Backup","Criar Backup"
"DB","DB"
"Database was successfuly backed up.","Backup da base de dados realizado com sucesso."
"Download","Download"
"Size, Bytes","Tamanho em Bytes"
"The file was compressed with Zlib, but this extension is not installed on server.","O arquivo foi compactado com Zlib, mas esta extensão não está instalada no servidor."
"Time","Hora"
"Type","Tipo"
"Unable to create backup. Please, try again later.","Não foi possível criar o backup. Tente novamente."
"Wrong order of creation for new backup.","Erro na ordem de criação do novo backup."
